Threshold,Model,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
0.28,LogReg,0.2901743478848493,0.1315525876460768,0.9403341288782816,0.23081429408318688,"[[1359, 5202], [50, 788]]"
0.28,RandomForest,0.40167590214893906,0.14709931170108162,0.8926014319809069,0.25257470876245147,"[[2224, 4337], [90, 748]]"
0.28,GradientBoosting,0.8886335991350183,0.5148936170212766,0.28878281622911695,0.37003058103975534,"[[6333, 228], [596, 242]]"
0.28,XGBoost,0.8855250709555346,0.49079754601226994,0.2863961813842482,0.3617181612660136,"[[6312, 249], [598, 240]]"
0.32,LogReg,0.3736991485335856,0.14283025969138125,0.905727923627685,0.24674902470741222,"[[2006, 4555], [79, 759]]"
0.32,RandomForest,0.49736450871739424,0.16335592428137416,0.834128878281623,0.27320695720148525,"[[2981, 3580], [139, 699]]"
0.32,GradientBoosting,0.8890390593323422,0.5198135198135199,0.26610978520286394,0.35201262825572216,"[[6355, 206], [615, 223]]"
0.32,XGBoost,0.8876875253412624,0.5081585081585082,0.26014319809069214,0.3441199684293607,"[[6350, 211], [620, 218]]"
0.35,LogReg,0.42857142857142855,0.1492135761589404,0.860381861575179,0.254320987654321,"[[2450, 4111], [117, 721]]"
0.35,RandomForest,0.5369644546560346,0.17107269954245044,0.8031026252983293,0.2820620284995809,"[[3300, 3261], [165, 673]]"
0.35,GradientBoosting,0.8901202865252061,0.5310173697270472,0.2553699284009546,0.3448831587429492,"[[6372, 189], [624, 214]]"
0.35,XGBoost,0.8901202865252061,0.532133676092545,0.24701670644391407,0.3374083129584352,"[[6379, 182], [631, 207]]"
